n01797886_8416,n01807496_6388
n02100877_14711,n02101006_7542
n02107908_8936,n02108000_4230
n02999410_40925,n03146219_23085
n03290653_10784,n04404412_13181
n03417042_6654,n04461696_13771
n02093991_8977,n02098105_8672
n02441942_16700,n02443114_7427
n02749479_4118,n04090263_7861
n03773504_25666,n04008634_24001
n02395406_34724,n02396427_5969
n02112706_1379,n02112706_2191
n02974003_4841,n03208938_1032
n02025239_1292,n02028035_2247
n01740131_6265,n01744401_8428
n01797886_5406,n01807496_11611
n02113624_2160,n02113712_1480
n01667114_149,n01669191_10346
n02978881_12441,n02979186_9450
n03733805_18137,n03950228_28448
n02749479_4222,n04090263_8089
n03085013_20716,n04264628_9845
n01797886_20306,n01807496_21845
n02093991_8985,n02098105_8683
n02113023_2768,n02113186_418
n01797886_1567,n01807496_1328
n03017168_47489,n03447721_40951
n12144580_18741,n13133613_32762
n01797886_6698,n01807496_5655
n02107908_10435,n02108000_5621
n02107574_3509,n02108000_3875
n03075370_2441,n03874599_3812
n03710637_1782,n03710721_3896
n04009552_17353,n04286575_39850
n02106030_3406,n02106166_1397
n01630670_2716,n01631663_3245
n03017168_10834,n03447721_6274
n02869837_12180,n03485794_26507
n03742115_24451,n03937543_2489
n01685808_4882,n01689811_5472
n02484975_10704,n02486261_20836
n02102040_468,n02906734_16492
n02107908_8996,n02108000_4297
n02403003_25880,n03967562_55810
n02895154_19831,n03146219_5467
n02979186_8089,n04392985_4365
n02669723_6079,n03787032_5767
n02119022_2231,n02119789_1211
n01797886_7773,n01807496_6476
n03179701_5997,n03793489_3343
n01682714_360,n01693334_287
n03775546_2639,n04597913_1634
n02395406_5305,n02396427_3074
n01641577_9951,n01644900_9131
n04560804_4595,n04579145_1087
n03782006_4042,n04152593_24508
n02090622_5273,n02091831_3914
n02107574_4112,n02108000_4577
n02114712_5138,n02115913_1680
n02978881_9607,n02979186_15511,n04392985_5055
n02395406_15687,n02396427_9245
n01744401_13291,n01756291_7366
n01797886_12682,n01807496_10534
n02395406_4898,n02396427_2836
n03710637_3373,n03710721_11261
n02441942_15034,n02443114_10306
n01644373_7806,n01644900_20004
n03782006_12149,n04152593_36116
n13044778_353,n13052670_463
n02787622_3991,n04536866_11082
n01729977_10477,n01749939_3163
n02669723_3894,n03787032_3781
n03710637_2873,n03710721_6172
n03461385_15384,n04204238_2331
n01729322_2269,n01744401_8971
n01644373_7504,n01644900_11257
n01729977_15657,n01749939_6364
n02669723_2621,n03787032_2565
n02114712_3424,n02116738_2775
n02441942_22735,n02443114_6210
n03180011_4841,n03793489_6086
n02115913_3498,n02120505_13088
n02486261_17227,n02490219_7087
n01753488_1978,n01756291_3134
n02112706_1202,n02112706_2161
n02442845_366,n02444819_417
n03724870_875,n04229816_3577
n02490219_3828,n02493509_16256
n01753488_9569,n01756291_15205
n03196217_1,n03197337_2
n02109961_5952,n02110185_4135
n02422106_2426,n02422699_6082
n02094114_1225,n02094258_1053
n02412080_6128,n02415577_7556
n01753488_18666,n01756291_14427
n04264628_4842,n04505470_2371
n02120079_1279,n02134084_15017
n03710637_13301,n03710721_1708
n01797886_17093,n01807496_14058
n03476991_4621,n03483316_6710
n03388043_16140,n03903868_53226
n03017168_13799,n03447721_8029
n01753488_7886,n01756291_12420
n07579787_13949,n07831146_5975
n03773504_619,n04008634_585
n02165105_3680,n02167151_9083
n01729977_8039,n01749939_3098
n03908618_9265,n04116512_13465
n03773504_8924,n04008634_22255
n07579787_9205,n07717410_2426
n02106030_5520,n02106166_2263
n02395406_21478,n02396427_12635
n02107574_5448,n02107908_10978,n02108000_6128
n03782006_29432,n04152593_60359
n02978881_13909,n04392985_7729
n02979186_8297,n04392985_2138
n02514041_4873,n02641379_8635
n01753488_10888,n01756291_17640
n01797886_10443,n01807496_8685
n01797886_11210,n01807496_9330
n04270147_1123,n04597913_698
n02107908_10762,n02108000_5912
n01797886_17204,n01807496_14157
n01641577_759,n01644900_745
n02098413_2239,n02113624_969
n01729322_6822,n01740131_14524
n01753488_11118,n01756291_18690
n01675722_2199,n01753488_16203
n02493509_16274,n02493793_23593
n03388183_7720,n03658185_20896
n02412080_11275,n02415577_14071
n01924916_5490,n01930112_7278
n01740131_15097,n01756291_12589
n03710637_3819,n03710721_8101
n04153751_11408,n04154565_14242
n03710637_13350,n03710721_26405
n03017168_21493,n03447721_12505
n03355925_15163,n03976657_19071
n01682714_5973,n01693334_5173
n03710637_3016,n03710721_6464
n02107908_10553,n02108000_5729
n02979186_5947,n04392985_4378
n03017168_49939,n03447721_42255
n03450230_34270,n10148035_12748
n01753488_9914,n01756291_15786
n02808440_15674,n04493381_9417
n02102480_10848,n02102973_225
n02422699_10940,n02423022_9346
n07734744_6277,n13040303_4405
n02403003_1843,n03868242_1527
n03763968_4500,n04389033_18682
n02106030_14750,n02106166_6061
n03935335_13033,n04070727_30115
n03085013_24182,n03782006_12388,n04152593_36459
n02110958_12014,n02328150_8205
n02790996_10672,n03255030_7216
n02490219_6290,n02493509_12388
n02113023_4791,n02113186_4018
n03706229_1390,n04355338_17139
n02093991_2923,n02093991_4670
n01797886_3877,n01807496_3277
n03773504_6672,n04008634_20498
n01797886_26636,n01806567_21918
n02749479_2963,n04090263_5656
n02169497_3551,n02172182_3707
n03773504_5461,n04008634_10125
n02895154_20257,n03146219_9194
n01871265_2678,n02504013_7016
n01742172_8395,n01744401_10694
n01797886_12749,n01807496_10599
n01773549_1221,n01775062_3371
n02085782_313,n02086646_280
n02895154_41657,n03146219_23593
n01682714_3423,n01693334_11141
n02097474_527,n02109047_9381
n01797886_103,n01807496_88
n02128385_3938,n02128925_7259
n03710637_940,n03710721_2069
n02114367_31392,n02115641_2661
n03773504_21401,n04008634_20540
n02979186_16667,n04392985_8412
n03710637_598,n03710721_1343
n02978881_8844,n02979186_6636
n03773504_23258,n04008634_22069
n03642806_957,n03832673_7559
n02979186_11543,n04392985_8430
n03782006_24778,n04152593_54068
n01797886_679,n01807496_580
n03179701_8463,n03782006_5442,n03793489_4808
n02107908_9035,n02108000_4337
n03602883_5602,n03793489_14521
n01797886_7206,n01807496_10490
n03249569_27195,n03720891_2232
n01917289_512,n09256479_1190
n01753488_11094,n01756291_18574
n02999410_6923,n04579432_4732
n03724870_11550,n04229816_3927
n03782006_13439,n04152593_38046
n01682714_929,n01693334_1684
n03908714_6508,n04116512_25728
n03773504_2965,n04008634_20268
n02395406_39533,n02396427_3134
n01797886_11378,n01807496_13170
n02669723_7701,n03787032_7214
n02808440_132,n04493381_95
n02412080_3224,n02415577_3966
n01630670_6131,n01631663_7842
n02109961_914,n03218198_286
n02708093_821,n04152593_55002
n03710637_6356,n03710721_13472
n03950228_3387,n04560804_3555
n03773504_13694,n04008634_25978
n02088094_3890,n02090622_2964
n02979186_20619,n04392985_11817
n02113023_8458,n02113186_5711
n02490219_925,n02493509_14642
n03710637_5054,n03710721_10752
n03773504_14916,n04008634_27012
n02107574_3630,n02108000_4021
n01729977_12690,n01739381_4053
n03691459_79297,n04404412_31631
n03710637_9918,n03710721_20545
n02097209_5249,n02106382_6681
n01797886_14874,n01807496_12299
n02395406_29013,n02396427_17213
n03710637_10348,n03710721_21278
n03710721_2895,n04371430_2170
n03710637_4581,n03710721_9720
n01630670_5689,n01631663_7053
n02002556_1292,n02002724_978
n01682714_627,n01693334_566
n03710637_4260,n03710721_9066
n07716906_3205,n07717556_4751
n02808440_3865,n04493381_2356
n02441942_2737,n02443114_3750
n04355933_689,n04356056_37016
n03773504_9791,n04008634_22905
n02484975_4435,n02486261_4223
n01797886_11441,n01807496_9523
n03197337_1807,n04328186_5263
n03773504_27122,n04008634_25155
n02808440_17067,n04493381_10263
n03710637_4850,n03710721_10288
n03773504_19487,n04008634_18944
n02119022_8299,n02119789_4366
n02088238_2364,n02096585_2095
n03782006_12202,n04152593_36202
n01755581_1390,n01756291_1794
n02804610_17040,n02992211_29443
n01753488_10981,n01756291_18073
n07749582_14,n07753592_17977
n01728572_19290,n01756291_7988
n02749479_6001,n04090263_11356
n03782006_12667,n04152593_36882
n02109961_983,n03218198_3295
n02119789_3612,n02120505_5840
n02167151_9525,n02168699_7637
n02099601_3600,n02099712_3485
n01955084_3908,n01978455_7542
n02441942_21678,n02442845_23130
n02749479_8736,n04090263_16432
n02095314_1950,n02095570_3572
n03481172_5881,n04154565_7497
n02395406_36773,n02396427_1016
n02128385_17175,n02130308_18726
n02093991_2180,n02098105_1964
n02112706_2550,n02112706_420
n01753488_15657,n01756291_8688
n01797886_8606,n01807496_7187
n01644373_10375,n01644900_21832
n01484850_5310,n01491361_1661
n03782006_8050,n04152593_30172
n01629819_7299,n01632458_3435
n04201297_11064,n04239074_73
n02395406_13245,n02396427_7777
n02979186_20620,n04392985_11819
n03710637_3981,n03710721_8459
n02088238_5571,n02088364_7174
n03633091_18061,n04597913_6385
n02708093_585,n03196217_970
n02403003_3809,n03868242_1896
n03773504_20160,n04008634_19529
n01797886_3046,n01807496_2585
n04264628_8522,n04505470_4139
n02094114_4708,n02094258_3870
n01773157_2819,n01773797_2954
n02895154_27846,n03146219_4441
n02395406_35252,n02396427_20967
n03782006_45992,n04152593_82168
n02749479_1568,n04090263_3088
n02749479_4143,n04090263_7925
n01828970_9454,n01843065_2596
n02096294_7524,n02097658_757
n03773504_12978,n04008634_25377
n02102177_1999,n02102177_2388
n01753488_7956,n01756291_12533
n01667114_2260,n01669191_4507
n03196217_4600,n03197337_5364
n01797886_6603,n01807496_5569
n03782006_2807,n04152593_22675
n02804610_18894,n03838899_31435
n02109961_14630,n02112137_12282
n02395406_25668,n02396427_15150
n02795169_77450,n04049303_16781
n02795169_13388,n04049303_2809
n01797886_4088,n01807496_3466
n02441942_10449,n02443114_13877
n03773504_5246,n04008634_19368
n01914609_3178,n02607072_250
n07747607_16571,n07753592_11821
n02978881_50,n02979186_35
n02107574_3756,n02107908_8814
n03773504_2363,n04008634_6027
n03666591_27550,n04456115_29728
n03782006_11777,n04152593_35530
n04263257_769,n07930864_2715
n02113624_6182,n02113712_4463
n01630670_472,n01631663_609
n02708093_81,n03196217_1335,n03197337_1551
n02536864_10074,n02640242_3067
n02412080_5475,n02415577_6749
n02807133_7971,n04209133_4501
n02119789_10373,n02120505_16738
n02109961_20689,n02110185_14435
n02093859_2928,n02094258_5351,n02095889_5677
n03710637_13847,n03710721_11078
n02441942_5989,n02443114_1441
n02090721_7496,n02102973_2601
n02749479_2941,n04090263_5626
n02484975_8275,n02493509_13617
n02978881_10094,n02979186_15188
n02093256_7118,n02093428_9732
n01753488_11116,n01756291_16021
n02486261_20620,n02493509_17013
n03710637_16103,n03710721_17549
n02395406_3508,n02396427_1994
n02795169_2999,n03991062_3054
n01514668_16140,n01795545_1515
n02066245_8505,n02071294_22552
n02165456_12830,n02169497_2668
n02106030_15630,n02106166_6435
n02105855_4871,n02106030_4812
n03773504_4958,n04008634_19111
n04118776_7636,n04238763_8296
n03110669_147341,n04141076_73299
n01753488_6849,n01756291_10747
n02123045_6228,n02123159_4595
n03481172_8697,n03804744_6765
n03400231_17053,n04596742_26492
n01797886_2035,n01807496_1719
n01682714_7297,n01693334_1792
n01753488_7794,n01756291_12302
n02795169_16071,n04049303_9272
n03710637_6024,n03710721_12799
n03710637_1218,n03710721_2634
n03710637_588,n03710721_1329
n03710637_4418,n03710721_9406
n02092002_1767,n02092002_4745
n02094258_3854,n02096294_8248
n02096294_2395,n02097658_8909
n02690373_9322,n04592741_54560
n03983396_9573,n04557648_9109
n01773157_6099,n01773797_3298
n01984695_10497,n01985128_8129
n03950228_20098,n04560804_1497
n03710637_5483,n03710721_11632
n01682714_6496,n01693334_5561
n02085782_327,n02086079_1521
n03773504_6233,n04008634_14639
n02107908_12257,n02108000_7333
n03710637_157,n03710721_378
n02107908_9009,n02108000_4309
n02092002_2448,n02092002_6503
n03782006_36986,n04152593_70281
n03017168_5769,n03447721_3297
n02088632_819,n02088632_982
n03773504_647,n04008634_15847
n01753488_177,n01756291_309
n03773504_431,n04008634_390
n02808440_4644,n04493381_2810
n03782006_15887,n04152593_41768
n12144580_14151,n13133613_33454
n03125729_6065,n04099969_13458
n03196217_3152,n03197337_3616
n02979186_10758,n02988304_11149
n02808440_3900,n04493381_2376
n01753488_2387,n01755581_7299
n03706229_3375,n04355338_23830
n02493793_7865,n02494079_6279
n02807133_7013,n04209133_3971
n03773504_8819,n04008634_22178
n03196217_1510,n03197337_1742
n03017168_41090,n03447721_15705
n03179701_901,n04004767_7522
n12144580_5647,n13133613_9833
n02676566_6414,n03272010_6827
n02097130_857,n02097209_585
n01744401_9829,n01756291_2928
n02085936_8639,n02098413_6954
n02978881_15638,n02979186_16837
n03782006_9668,n04152593_32447
n01797886_12323,n01807496_10862
n03710637_6708,n03710721_14209
n02795169_4440,n04049303_991
n01828970_5023,n01843065_743
n07718747_3619,n07730033_1395
n01682714_9884,n01693334_10882
n03710637_3625,n03710721_511
n03691459_59444,n04041544_27147
n03773504_1123,n04008634_1080
n03782006_25300,n04152593_54823
n03773504_755,n04008634_15928
n03535780_15094,n03888605_12563
n02093647_4942,n02102973_5981
n03710637_13112,n03710721_26014
n01629819_30972,n01632458_5998
n03773504_10302,n04008634_10275
n03196217_367,n03197337_445
n04204238_8542,n04204347_3633
n03773504_4288,n04008634_18584
n03773504_6450,n04008634_6338
n03710637_2708,n03710721_5800
n03710637_9288,n03710721_19517
n03782006_34256,n04152593_66634
n02979186_14709,n04392985_9446
n01667114_16,n01669191_45
n03710637_5323,n03710721_95
n02514041_4716,n02641379_2339
n02395406_10057,n02396427_5868
n02115913_4117,n02115913_564
n03017168_17108,n03447721_9921
n02979186_9431,n02988304_9742,n03691459_59709
n02165456_11838,n02169497_2461
n03476991_10750,n03690938_8614
n02093256_7467,n02093428_10215
n02799071_5677,n09835506_5838
n02441942_22174,n02443114_257
n02441942_8531,n02443484_10093
n02493509_5972,n02494079_5937
n02804414_708,n03125729_11308
n01797886_15366,n01807496_12683
n02979186_15777,n03691459_59241,n04392985_9668
n02492035_3822,n02493509_10766
n01914609_1831,n02607072_784
n02085782_8054,n02086910_14653
n02514041_8372,n02641379_20097
n02910353_1971,n03594734_4073
n02951585_21256,n03109150_27756
n04552348_12194,n04592741_1834
n02088238_8057,n02088364_4869
n02669723_213,n03787032_13437
n01797886_37,n01807496_26
n02236044_10829,n04039381_14144
n03887697_9609,n15075141_31473
n02395406_48265,n02396427_28546
n01630670_6363,n01632458_2194
n03710637_6757,n03710721_4010
n03773504_16918,n04008634_16823
n02412080_254,n02415577_305
n02107908_10033,n02108000_5284
n03782006_7664,n04152593_29607
n02113023_1745,n02113186_1449
n02113023_6228,n02113186_5278
n02895154_2041,n03146219_985
n03710637_10296,n03710721_3671
n01496331_29167,n01498041_6361
n01755581_371,n01756291_9366
n01797886_9520,n01807496_7108
n02226429_7746,n02229544_4344
n01773157_4610,n01773797_4812
n02895154_47103,n03146219_27726
n02892767_9965,n03770439_5569
n02412080_10881,n02415577_6154
n02412080_6206,n02415577_7713
n01729977_1514,n01739381_514
n02777292_19979,n03888605_25295
n02091032_1208,n02093647_369
n01753488_1985,n01756291_3146
n02094258_6092,n02096294_5966
n02980441_8619,n03877845_10507
n03124170_3610,n04259630_5240
n01797886_8463,n01807496_7063
n03832673_11076,n04154565_156
n02101556_1142,n02102480_606
n03710637_3564,n03710721_7598
n03710637_1655,n03710721_3628
n02807133_20347,n03710721_26744
n01728572_15151,n01751748_1894
n04560804_2275,n04579145_569
n03773504_13989,n04008634_26256
n02704792_21930,n04389033_40682
n03259280_6615,n04596742_29522
n02107908_12201,n02108000_7296
n01728920_5853,n01729977_9931
n02412080_5765,n02415577_7094
n01667114_13203,n01667778_23954
n03710637_4802,n03710721_2132
n02114367_5887,n02114548_4129
n01753488_10984,n01756291_18087
n01753488_5739,n01756291_9039
n02113023_12781,n02113186_10748
n02974003_2052,n03208938_13122
n02096585_9171,n04409515_9004
n02412080_7037,n02415577_8691
n01753488_7513,n01756291_11860
n02795169_57504,n04049303_8930
n02978881_495,n02979186_12429
n01753488_11081,n01756291_18527
n02978881_10184,n02979186_15226
n03782006_10926,n04152593_34249
n01755581_7099,n01756291_8450
n12144580_12415,n13133613_21539
n02808440_1997,n04493381_1233
n03481172_26239,n04154565_29609
n03017168_26677,n03447721_15479
n02114855_2693,n02115913_2955
n03710637_612,n03710721_1369
n02441942_22013,n02443114_12072
n01753488_19999,n01756291_12770
n03110669_115347,n04487394_24997
n03785016_9324,n03791053_10398
n01773549_3358,n01774384_11160
n03017168_13052,n03249569_31763
n02113023_2283,n02113186_1910
n02412080_17777,n02415577_4840
n02002556_8014,n02002724_5245
n02412080_10389,n02415577_12966
n12985857_3550,n13044778_249
n07614500_735,n07836838_187
n02165105_1575,n02168699_6300
n02119022_3082,n02119789_1684
n07749582_14762,n07753592_1221
n01797886_14467,n01807496_11975
n01797886_3340,n01807496_13222
n02093859_2844,n02094433_3051,n02096294_1527
n02002556_2008,n02002724_1492
n03017168_71567,n03447721_52724
n01797886_12345,n01807496_10286
n02113023_6712,n02113186_5668
n02412080_5303,n02415577_6535
n03657121_2919,n03692522_2289
n01983481_27426,n01984695_65024
n01978287_1114,n01981276_1772
n02815834_6751,n03630383_9669
n07734744_3863,n13054560_3379
n03710721_1505,n04371430_1166
n02099712_7719,n04235860_7550
n03496892_11822,n04465501_11885
n03710637_1086,n03710721_780
n01753488_1858,n01756291_2955
n03249569_27746,n03250847_2040
n03773504_7160,n04008634_7059
n04037443_8653,n04285008_4098
n01753488_9883,n01756291_15709
n04335435_2127,n04461696_1011
n12144580_1699,n13133613_3045
n07614500_72354,n07836838_1833
n01484850_25145,n01491361_7932
n01833805_4999,n01843065_261
n03773504_10745,n04008634_44049
n02992211_6686,n04536866_11746
n01530575_4846,n01532829_2987
n03110669_74973,n04487394_18521
n02395406_29180,n02396427_17316
n03782006_10912,n04152593_34229
n04443257_7722,n04525305_10633
n07716358_21745,n07718472_19129
n02101556_183,n02102040_3255
n04154565_3831,n04392985_9088
n01753488_3702,n01756291_5888
n02979186_14644,n04392985_9425
n02100877_16431,n02101006_8434
n02120505_10205,n02356798_5515
n02808440_3230,n04493381_1982
n01753488_3577,n01756291_5655
n02492035_5358,n02493509_6796
n03180011_2233,n03782006_26720
n03782006_15934,n04152593_41857
n12144580_14545,n13133613_28826
n04118776_4065,n04238763_12719
n02090622_2962,n02091831_3888
n02093859_3383,n02098105_4366
n02999410_46653,n03814906_36723
n02422699_2216,n02423022_1912
n01753488_514,n01756291_908
n02099267_1792,n02099429_1144
n02317335_1240,n02321529_544
n01797886_9868,n01807496_8208
n03773504_11989,n04008634_24618
n07747607_27028,n07749582_9758
n01753488_3837,n01756291_6104
n02107908_10530,n02108000_5710
n03710637_10799,n03710721_4802
n02128385_845,n02128757_790
n02817516_21411,n03763968_7075
n03759954_21579,n04141076_37669
n02088466_7015,n02088466_8078
n02999410_24894,n03874599_2874
n02486261_18107,n02493509_14910
n03773504_1837,n04008634_16726
n02403003_1431,n03868242_990
n01728920_14500,n01729322_17718
n02093991_9418,n02098105_9227
n01744401_11566,n01756291_7619
n02441942_22480,n02443114_13284
n03782006_1103,n04152593_20281
n01630670_5074,n01631663_4901
n03773504_11784,n04008634_24438
n02095314_1040,n02095570_3793
n01728572_51,n01728920_54
n03908618_6713,n04116512_9609
n01740131_5345,n01753488_479
n02113624_2244,n02113712_1546
n07716358_20687,n07718472_18296
n03710637_13042,n03710721_25886
n02096294_761,n02097658_2133
n02669723_2863,n03787032_2775
n02107683_1933,n02109525_5231
n02107908_10893,n02108000_6044
n03775546_15115,n04263257_3836
n02091032_2143,n15075141_20306
n02441942_20028,n02443114_235
n02777292_7269,n03535780_8022
n01744401_11395,n01756291_996
n02137549_11628,n02138441_7320
n04552348_13527,n04592741_9165
n02978881_12127,n04392985_6656
n02403003_73,n03868242_5163
n01664065_2722,n01667114_692
n02749479_6241,n04090263_11781
n04263257_9070,n04597913_6214
n02107683_71,n02107908_47
n02951585_4980,n03666591_8272
n03773504_13456,n04008634_10743
n01797886_2590,n01807496_8892
n02749479_1412,n04090263_2763
n02669723_3222,n03787032_3132
n02114367_26297,n02115641_6245
n02441942_9463,n02443114_7452
n03017168_6163,n03447721_3508
n07579787_17119,n07711569_4936
n02114367_28167,n02115641_4427
n02808440_17277,n04493381_46387
n01773157_8256,n01773797_8608
n02669723_308,n03787032_293
n02119789_1238,n02120505_1953
n01753488_11041,n01756291_18320
n02097047_1248,n02097209_6241
n02403003_14883,n03868242_7175
n02119789_5996,n02120505_9825
n02105855_12836,n02106030_13604
n03424325_17794,n03868863_9004
n01728572_8622,n01728920_8017
n03637318_10231,n04380533_4984
n01871265_3770,n02504458_6027
n01753488_6615,n01756291_10356
n02395406_7055,n02396427_4088
n01514859_6977,n01582220_484
n03249569_12121,n03250847_3324
n02441942_18037,n02442845_18278
n01592084_5152,n01806567_6648
n02808440_4157,n04493381_2512
n02091032_11419,n02107312_1475
n02165105_2211,n02167151_2827
n02094114_1143,n02094258_968
n01797886_6765,n01807496_5698
n02106030_7782,n02106166_3229
n02100877_10957,n02101006_5679
n02979186_11715,n02988304_12154,n04392985_9891
n01753488_5676,n01756291_8894
n02669723_7958,n03787032_7459
n02536864_22609,n02640242_6889
n04201297_7051,n04589890_4950
n01737021_8102,n01751748_7900
n02087394_715,n02100583_733
n07747607_17707,n07749582_10061
n03782006_7136,n04152593_28862
n01664065_10784,n01667778_7006
n03908618_18357,n04116512_26657
n02102177_3798,n02102318_15115
n02791124_6823,n02791270_1491
n03773504_6220,n04008634_6111
n01828970_4623,n02018795_3055
n01797886_8627,n01807496_7202
n02669723_900,n03787032_889
n02441942_21394,n02443114_14636
n01797886_8037,n01807496_6715
n03710637_7126,n03710721_15103
n01797886_14430,n01807496_10464
n02895154_31228,n03146219_9141
n01978287_4923,n01981276_8287
n01630670_3617,n01631663_4396
n03710637_11001,n03710721_5291
n03535780_6388,n03888605_18591
n03775546_4031,n07860988_9482
n01773549_368,n04275548_1372
n02669723_737,n03787032_750
n02137549_9247,n02138441_236
n02791124_1507,n02791270_4147
n02107683_2628,n02107908_1674
n02090721_5838,n02091635_3802,n02095570_5212
n01753488_8856,n01756291_14023
n02859443_1305,n02951358_1910
n02895154_17034,n03000247_2158
n01797886_3832,n01807496_3241
n01755581_5148,n01756291_6977
n03220513_17661,n04523525_6692
n02978881_13477,n02979186_10271
n01753488_7986,n01756291_12588
n01753488_8366,n01756291_13169
n02169497_4230,n02172182_4402
n03773504_1272,n04008634_16314
n02105251_8607,n02107908_4492
n01753488_8040,n01756291_12642
n02669723_1933,n03787032_1897
n02669723_4457,n03787032_4333
n01753488_10957,n01756291_17963
n07734744_3048,n13054560_5639
n02895154_29578,n03146219_7778
n03782006_8870,n04152593_31304
n03773504_14295,n04008634_10786
n02109961_7105,n03218198_5885
n01917289_1114,n09256479_14988
n02484975_6876,n02493509_11572
n01630670_5731,n01631663_7114
n02119789_3238,n02120505_5262
n02113023_13330,n02113186_11216
n01675722_7116,n01685808_8772
n07716906_771,n07717556_1160
n01630670_1733,n01632458_1875
n03773504_6829,n04008634_20625
n01629819_17908,n01632458_5722
n01797886_3778,n01807496_11952
n03773504_9392,n04008634_22616
n07583066_7552,n07880968_5419
n02395406_35259,n02396427_20971
n02979186_14357,n04392985_9358
n02119022_13894,n02119789_7258
n02669723_5497,n03787032_5282
n02109961_9997,n02110185_7007
n03290653_7466,n03529860_2241
n02085936_8968,n02086240_4450
n02086240_7345,n02112018_8111
n02443114_9496,n02443484_8429
n03838899_45734,n04487394_31052
n12144580_5584,n13133613_9718
n01753488_11062,n01756291_18410
n07747607_9779,n07749582_5563
n03773504_1414,n04008634_1364
n03782006_7444,n04004767_10963
n01796340_2539,n01807496_3393
n04118776_8544,n04238763_9203
n01728920_5002,n01729322_6574
n02111277_13292,n03803284_290
n01797886_14122,n01807496_4367
n01682714_16372,n01693334_14272
n03710637_1340,n03710721_2921
n03481172_19414,n03804744_27672
n03773504_863,n04008634_15992
n02101388_4017,n02102318_10324
n03633091_16907,n04597913_5136
n02808440_38828,n04493381_11249
n02790996_1875,n03255030_1705
n03085013_13494,n03793489_8534
n01753488_8228,n01756291_12914
n01729322_4145,n01753488_4100
n02395406_2966,n02396427_1714
n03344393_9247,n03933933_31998
n01797886_11269,n01807496_9378
n02412080_63313,n02415577_76719
n02395406_3619,n02396427_2054
n01797886_9552,n01807496_7978
n02808440_4584,n04493381_2766
n03782006_1742,n04152593_1782
n01753488_10211,n01756291_16305
n02877765_12002,n03983396_3027
n01753488_11134,n01756291_18755
n02101556_1592,n02102480_812
n01530575_4497,n01532829_225
n02113186_1030,n02113186_11400
n07747607_13465,n07749582_7692
n02895154_29912,n03146219_7097
n02979186_11916,n04392985_4163
n02787622_426,n02992211_25344
n07711569_2961,n07871810_7135
n02093428_269,n02108422_77
n01729977_15177,n01739381_4654
n03793489_8925,n03832673_912
n02105641_12364,n02113799_8862
n02412080_5868,n02415577_7232
n02002556_630,n02002724_481
n03796401_20943,n03977966_16525
n01740131_5701,n01755581_7984
n04201297_3142,n04590129_5299
n01753488_22169,n01756291_23006
n02395406_4387,n02396427_9806
n04270147_1355,n04597913_837
n02085782_50,n02086910_103
n03710637_6839,n03710721_16083
n02442845_6003,n02443114_31140
n01914609_12780,n02607072_4866
n02107908_8525,n02108000_3877
n02749479_7656,n04090263_14311
n03179701_7268,n06359193_18594
n02095570_1575,n02095889_1582
n03773504_4557,n04008634_18772
n02395406_6473,n02396427_3729
n03250847_11424,n03929660_19752
n04310018_10343,n09468604_17275
n03017168_65200,n03447721_49718
n03179701_5584,n03793489_3143
n03637318_28059,n04380533_3340
n02093991_10365,n02098105_10345
n03085013_6862,n03180011_2587
n02441942_15991,n02442845_15617
n03710637_9607,n03710721_19993
n01729977_10241,n01749939_3748
n03710637_5564,n03710721_11822
n02497673_6980,n02500267_3174
n02107908_11515,n02108000_6643
n02095314_311,n02095889_577,n02096437_403
n04591713_7093,n07892512_20795
n01914609_3108,n02607072_2999
n02395406_22174,n02396427_13049
n03110669_89144,n03838899_31449
n03773504_3049,n04008634_2930
n01797886_13652,n01807496_11323
n03773504_6362,n04008634_20278
n01871265_3288,n02504013_4386
n02091467_2818,n02110185_5712
n02395406_6815,n02396427_3931
n01440764_1869,n02514041_4163
n03124043_7243,n03124170_9524
n02091244_6726,n02110806_16369
n01682714_2587,n01693334_10362
n01978287_3160,n01981276_5185
n01580077_3034,n01582220_2356
n03887697_7119,n15075141_16544
n02412080_36,n02415577_37
n03017168_29035,n03447721_16852
n01877812_4963,n01883070_3827
n02783161_15320,n03388183_7501
n02167151_329,n02177972_4251
n02669723_3193,n03787032_204
n01797886_4466,n01807496_3769
n02490219_7511,n02493509_11362
n02109961_1841,n02110185_1303
n03773504_4407,n04008634_4236
n03782006_6746,n04152593_28312
n02895154_43922,n03146219_25261
n02109961_9292,n02110185_6462
n03773504_17155,n04008634_17026
n03773504_22594,n04008634_21498
n03773504_7679,n04008634_7532
n03017168_34204,n03447721_19820
n02823428_2558,n02823750_2614
n03017168_42351,n03447721_24626
n03782006_16882,n04152593_43233
n03782006_9217,n04152593_31822
n01797886_2045,n01807496_1729
n01753488_4247,n01756291_6721
n02403003_222,n03868242_3183
n02114548_8547,n02120079_9977
n01797886_11929,n01807496_5461
n02395406_102814,n02396427_53869
n02110063_149,n02110185_112
n01630670_2000,n01631663_2452
n03773504_7498,n04008634_21144
n02783161_48,n03388183_15
n02823428_4056,n03983396_18674
n03710637_2332,n03710721_5057
n02979186_27252,n04392985_15370
n03710637_6106,n03710721_12974
n03782006_7288,n04152593_29091
n03976657_20822,n04458633_10174
n01773157_7317,n01773797_7647
n02090721_478,n02092002_534
n02167151_2081,n02172182_2278
n02105412_180,n02105855_431
